2025-09-22 17:40:34,871 | INFO | MAIN - START
2025-09-22 17:40:34,871 | INFO |  > FOCAL LOSS set to True
2025-09-22 17:40:34,875 | INFO | Command Line Args:
{
    "cfg": "/storage/alperengenc/change_detection/ChangeMamba_AG/changedetection/configs/vssm1/vssm_tiny_224_0229flex.yaml",
    "opts": null,
    "pretrained_weight_path": "/storage/alperengenc/change_detection/ChangeMamba_AG/pretrained_weight/vssm_tiny_0230_ckpt_epoch_262.pth",
    "dataset": "xBD",
    "type": "train",
    "train_dataset_path": "/storage/alperengenc/change_detection/xBD_complete_png/train_combined",
    "train_data_list_path": "/storage/alperengenc/change_detection/xBD_complete_png/train_combined_list.txt",
    "test_dataset_path": "/storage/alperengenc/change_detection/xBD_complete_png/test",
    "test_data_list_path": "/storage/alperengenc/change_detection/xBD_complete_png/test_list.txt",
    "shuffle": true,
    "batch_size": 4,
    "crop_size": 256,
    "start_iter": 0,
    "cuda": true,
    "max_iters": 200000,
    "model_type": "MambaBDA_Tiny",
    "model_param_path": "/storage/alperengenc/change_detection/ChangeMamba_AG/changedetection/deneme_saved_models/tr2025-09-22_17-40-33_MambaBDA_Tiny_xBD_FOCAL",
    "resume": null,
    "learning_rate": 0.0001,
    "momentum": 0.9,
    "weight_decay": 0.005,
    "logfile": "/storage/alperengenc/change_detection/ChangeMamba_AG/LOGLAR_CMAG/train_2025-09-22_17-40-33_MambaBDA_Tiny_xBD_FOCAL.log",
    "extension": "png",
    "focal_loss": true
}
2025-09-22 17:40:35,509 | INFO | FOCAL LOSS params: alpha = [1.0, 2.3, 1.3, 1.1], gamma = 2.0
2025-09-22 17:40:35,509 | INFO | ---------starting training-----------
2025-09-22 17:40:35,583 | INFO | VAL_STEP=6250
2025-09-22 17:42:38,270 | INFO | iter is 50 / 50000 [skipped    4] | loc. loss = 0.4595122933, classif. loss = 2.0411958694
2025-09-22 17:44:09,498 | INFO | iter is 100 / 50000 [skipped    9] | loc. loss = 0.4236871004, classif. loss = 1.6137822866
2025-09-22 17:45:49,993 | INFO | iter is 150 / 50000 [skipped   12] | loc. loss = 0.4113941193, classif. loss = 1.3528175354
2025-09-22 17:47:32,465 | INFO | iter is 200 / 50000 [skipped   15] | loc. loss = 0.4161998928, classif. loss = 1.7886205912
2025-09-22 17:49:23,684 | INFO | iter is 250 / 50000 [skipped   22] | loc. loss = 0.4161915183, classif. loss = 0.4700932503
2025-09-22 17:50:56,790 | INFO | iter is 300 / 50000 [skipped   23] | loc. loss = 0.3433831036, classif. loss = 0.1113917232
2025-09-22 17:52:18,602 | INFO | iter is 350 / 50000 [skipped   28] | loc. loss = 0.4802132249, classif. loss = 1.5285229683
2025-09-22 17:53:59,752 | INFO | iter is 400 / 50000 [skipped   31] | loc. loss = 0.3951605558, classif. loss = 1.0053904057
2025-09-22 17:55:39,716 | INFO | iter is 450 / 50000 [skipped   36] | loc. loss = 0.2803954184, classif. loss = 0.5572998524
2025-09-22 17:57:16,227 | INFO | iter is 500 / 50000 [skipped   40] | loc. loss = 0.9551044703, classif. loss = 1.0963310003
2025-09-22 17:58:51,218 | INFO | iter is 550 / 50000 [skipped   47] | loc. loss = 0.2890712023, classif. loss = 2.4124190807
2025-09-22 18:00:30,656 | INFO | iter is 600 / 50000 [skipped   52] | loc. loss = 0.5446860194, classif. loss = 0.5751642585
2025-09-22 18:02:00,427 | INFO | iter is 650 / 50000 [skipped   57] | loc. loss = 0.3384257555, classif. loss = 1.5768411160
