2025-09-23 22:02:08,613 | INFO | MAIN - START
2025-09-23 22:02:08,614 | INFO |  > FOCAL LOSS set to True
2025-09-23 22:02:08,626 | INFO | Command Line Args:
{
    "cfg": "/storage/alperengenc/change_detection/ChangeMamba_AG/changedetection/configs/vssm1/vssm_base_224.yaml",
    "opts": null,
    "pretrained_weight_path": "/storage/alperengenc/change_detection/ChangeMamba_AG/pretrained_weight/vssm_base_0229_ckpt_epoch_237.pth",
    "dataset": "xBD",
    "type": "train",
    "train_dataset_path": "/storage/alperengenc/change_detection/xBD_complete_png/train_combined",
    "train_data_list_path": "/storage/alperengenc/change_detection/xBD_complete_png/train_combined_list.txt",
    "test_dataset_path": "/storage/alperengenc/change_detection/xBD_complete_png/test",
    "test_data_list_path": "/storage/alperengenc/change_detection/xBD_complete_png/test_list.txt",
    "shuffle": true,
    "batch_size": 4,
    "crop_size": 256,
    "start_iter": 0,
    "cuda": true,
    "max_iters": 400000,
    "model_type": "MambaBDA_Base",
    "model_param_path": "/storage/alperengenc/change_detection/ChangeMamba_AG/changedetection/deneme_saved_models/tr2025-09-23_22-02-06_MambaBDA_Base_xBD_FOCAL",
    "resume": null,
    "learning_rate": 0.0001,
    "momentum": 0.9,
    "weight_decay": 0.005,
    "logfile": "/storage/alperengenc/change_detection/ChangeMamba_AG/LOGLAR_CMAG/train_2025-09-23_22-02-06_MambaBDA_Base_xBD_FOCAL.log",
    "extension": "png",
    "focal_loss": true
}
2025-09-23 22:02:13,998 | INFO | FOCAL LOSS params: alpha = [0.6, 1.6, 1.1, 1.1], gamma = 1.5
2025-09-23 22:02:13,998 | INFO | ---------starting training-----------
2025-09-23 22:02:14,130 | INFO | VAL_STEP=12500
2025-09-23 22:02:55,454 | INFO | iter is 100 / 100000 [skipped    7] | loc. loss = 0.4325495362, classif. loss = 1.3389898539
2025-09-23 22:03:15,011 | INFO | iter is 150 / 100000 [skipped   11] | loc. loss = 0.8567237854, classif. loss = 1.2233963013
2025-09-23 22:03:33,727 | INFO | iter is 200 / 100000 [skipped   17] | loc. loss = 0.3377291262, classif. loss = 0.4085116982
2025-09-23 22:03:52,575 | INFO | iter is 250 / 100000 [skipped   23] | loc. loss = 0.7186526060, classif. loss = 2.9074406624
2025-09-23 22:04:11,861 | INFO | iter is 300 / 100000 [skipped   28] | loc. loss = 0.4629263878, classif. loss = 1.1021800041
2025-09-23 22:04:31,042 | INFO | iter is 350 / 100000 [skipped   33] | loc. loss = 0.3424216509, classif. loss = 0.5210326910
2025-09-23 22:04:50,271 | INFO | iter is 400 / 100000 [skipped   38] | loc. loss = 0.3461424708, classif. loss = 1.4009110928
2025-09-23 22:05:10,615 | INFO | iter is 450 / 100000 [skipped   40] | loc. loss = 0.3183676004, classif. loss = 1.0949964523
2025-09-23 22:05:49,835 | INFO | iter is 550 / 100000 [skipped   48] | loc. loss = 0.3737378418, classif. loss = 0.5465741158
2025-09-23 22:06:09,390 | INFO | iter is 600 / 100000 [skipped   52] | loc. loss = 0.3170867562, classif. loss = 2.0792071819
2025-09-23 22:06:28,977 | INFO | iter is 650 / 100000 [skipped   56] | loc. loss = 0.2707211375, classif. loss = 0.3539956212
2025-09-23 22:06:48,936 | INFO | iter is 700 / 100000 [skipped   59] | loc. loss = 0.4463008344, classif. loss = 8.0613431931
2025-09-23 22:07:08,964 | INFO | iter is 750 / 100000 [skipped   62] | loc. loss = 0.6480005383, classif. loss = 0.8807967901
2025-09-23 22:07:28,499 | INFO | iter is 800 / 100000 [skipped   66] | loc. loss = 0.3661198318, classif. loss = 1.7336684465
2025-09-23 22:07:47,698 | INFO | iter is 850 / 100000 [skipped   71] | loc. loss = 0.3274863362, classif. loss = 2.1218817234
2025-09-23 22:08:07,748 | INFO | iter is 900 / 100000 [skipped   74] | loc. loss = 0.4345942140, classif. loss = 0.4320815504
2025-09-23 22:08:47,361 | INFO | iter is 1000 / 100000 [skipped   81] | loc. loss = 0.3059167564, classif. loss = 0.1291953176
2025-09-23 22:09:06,515 | INFO | iter is 1050 / 100000 [skipped   86] | loc. loss = 0.4970071018, classif. loss = 0.3002359271
2025-09-23 22:09:45,293 | INFO | iter is 1150 / 100000 [skipped   95] | loc. loss = 0.4336998463, classif. loss = 2.7473230362
2025-09-23 22:10:05,282 | INFO | iter is 1200 / 100000 [skipped   98] | loc. loss = 0.4531874657, classif. loss = 0.2907332480
2025-09-23 22:11:00,643 | INFO | iter is 1350 / 100000 [skipped  119] | loc. loss = 0.2285106480, classif. loss = 0.0988645554
2025-09-23 22:11:21,106 | INFO | iter is 1400 / 100000 [skipped  121] | loc. loss = 0.3452467620, classif. loss = 0.1218612492
2025-09-23 22:11:40,335 | INFO | iter is 1450 / 100000 [skipped  126] | loc. loss = 0.2409123778, classif. loss = 3.0707752705
2025-09-23 22:11:59,506 | INFO | iter is 1500 / 100000 [skipped  131] | loc. loss = 0.2967087030, classif. loss = 0.6979750395
2025-09-23 22:12:19,131 | INFO | iter is 1550 / 100000 [skipped  135] | loc. loss = 0.2880522907, classif. loss = 0.7670058608
2025-09-23 22:12:39,873 | INFO | iter is 1600 / 100000 [skipped  136] | loc. loss = 0.4562839270, classif. loss = 0.6748601198
2025-09-23 22:12:59,101 | INFO | iter is 1650 / 100000 [skipped  141] | loc. loss = 0.1899098605, classif. loss = 0.3616008759
2025-09-23 22:13:17,495 | INFO | iter is 1700 / 100000 [skipped  148] | loc. loss = 0.2512416840, classif. loss = 3.9576835632
2025-09-23 22:13:37,468 | INFO | iter is 1750 / 100000 [skipped  151] | loc. loss = 0.3159122467, classif. loss = 0.4028906822
2025-09-23 22:13:56,804 | INFO | iter is 1800 / 100000 [skipped  156] | loc. loss = 0.3919713497, classif. loss = 0.9240783453
2025-09-23 22:14:16,767 | INFO | iter is 1850 / 100000 [skipped  159] | loc. loss = 0.2039131075, classif. loss = 0.2947471440
2025-09-23 22:14:36,013 | INFO | iter is 1900 / 100000 [skipped  164] | loc. loss = 0.1745519489, classif. loss = 2.1122269630
2025-09-23 22:14:57,163 | INFO | iter is 1950 / 100000 [skipped  164] | loc. loss = 0.2747403979, classif. loss = 0.1622657776
2025-09-23 22:15:16,036 | INFO | iter is 2000 / 100000 [skipped  170] | loc. loss = 0.2014937997, classif. loss = 0.5672352314
2025-09-23 22:15:37,247 | INFO | iter is 2050 / 100000 [skipped  170] | loc. loss = 0.3617782593, classif. loss = 2.6024003029
2025-09-23 22:15:56,111 | INFO | iter is 2100 / 100000 [skipped  176] | loc. loss = 0.2238342017, classif. loss = 0.7033207417
2025-09-23 22:16:16,177 | INFO | iter is 2150 / 100000 [skipped  179] | loc. loss = 0.3010804057, classif. loss = 0.1914484948
2025-09-23 22:16:35,378 | INFO | iter is 2200 / 100000 [skipped  184] | loc. loss = 0.5125865936, classif. loss = 2.0242760181
2025-09-23 22:16:53,850 | INFO | iter is 2250 / 100000 [skipped  191] | loc. loss = 0.5637341738, classif. loss = 0.8528544307
2025-09-23 22:17:12,712 | INFO | iter is 2300 / 100000 [skipped  197] | loc. loss = 0.3848980367, classif. loss = 1.2706385851
2025-09-23 22:17:53,171 | INFO | iter is 2400 / 100000 [skipped  202] | loc. loss = 0.2424065471, classif. loss = 1.7561451197
2025-09-23 22:18:12,056 | INFO | iter is 2450 / 100000 [skipped  208] | loc. loss = 0.2383911014, classif. loss = 0.3737733662
2025-09-23 22:18:30,090 | INFO | iter is 2500 / 100000 [skipped  216] | loc. loss = 0.5839727521, classif. loss = 0.9295256734
2025-09-23 22:18:50,132 | INFO | iter is 2550 / 100000 [skipped  219] | loc. loss = 0.2460664213, classif. loss = 0.5641267896
2025-09-23 22:19:10,135 | INFO | iter is 2600 / 100000 [skipped  222] | loc. loss = 0.5964364409, classif. loss = 2.1523292065
2025-09-23 22:19:30,174 | INFO | iter is 2650 / 100000 [skipped  225] | loc. loss = 0.1542939842, classif. loss = 0.3071833253
2025-09-23 22:20:08,294 | INFO | iter is 2750 / 100000 [skipped  236] | loc. loss = 0.3029830754, classif. loss = 0.7103700638
2025-09-23 22:20:27,560 | INFO | iter is 2800 / 100000 [skipped  241] | loc. loss = 0.2811611891, classif. loss = 0.0416820943
2025-09-23 22:20:46,091 | INFO | iter is 2850 / 100000 [skipped  248] | loc. loss = 0.1170546636, classif. loss = 2.0532870293
2025-09-23 22:21:04,175 | INFO | iter is 2900 / 100000 [skipped  256] | loc. loss = 0.2270025164, classif. loss = 0.5958853960
2025-09-23 22:21:23,449 | INFO | iter is 2950 / 100000 [skipped  261] | loc. loss = 0.2691707015, classif. loss = 3.1725826263
2025-09-23 22:21:43,774 | INFO | iter is 3000 / 100000 [skipped  263] | loc. loss = 0.2643286586, classif. loss = 2.0783612728
2025-09-23 22:22:04,607 | INFO | iter is 3050 / 100000 [skipped  264] | loc. loss = 0.2252510488, classif. loss = 0.6278942227
2025-09-23 22:22:24,959 | INFO | iter is 3100 / 100000 [skipped  266] | loc. loss = 0.4366730750, classif. loss = 0.9649729133
2025-09-23 22:22:45,001 | INFO | iter is 3150 / 100000 [skipped  269] | loc. loss = 0.2241594791, classif. loss = 0.9999396205
2025-09-23 22:23:04,609 | INFO | iter is 3200 / 100000 [skipped  273] | loc. loss = 0.3167046010, classif. loss = 0.2790348530
2025-09-23 22:23:24,267 | INFO | iter is 3250 / 100000 [skipped  277] | loc. loss = 0.3105182052, classif. loss = 0.6561130881
