2025-09-27 14:47:53,431 | INFO | MAIN - START
2025-09-27 14:47:53,432 | INFO |  > FOCAL LOSS set to True
2025-09-27 14:47:53,433 | INFO | Command Line Args:
{
    "cfg": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/configs/vssm1/vssm_base_224.yaml",
    "opts": null,
    "pretrained_weight_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/pretrained_weight/vssm_base_0229_ckpt_epoch_237.pth",
    "dataset": "xBD2",
    "type": "train",
    "train_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined",
    "train_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined/train_list2.txt",
    "test_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test",
    "test_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test/test_list2.txt",
    "shuffle": true,
    "batch_size": 8,
    "crop_size": 256,
    "start_iter": 0,
    "cuda": true,
    "max_iters": 400000,
    "model_type": "MambaBDA_Base",
    "model_param_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/deneme_saved_models/tr2025-09-27_14-47-52_MambaBDA_Base_xBD2_FOCAL",
    "resume": null,
    "learning_rate": 0.0001,
    "momentum": 0.9,
    "weight_decay": 0.005,
    "logfile": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/LOGLAR_CMAG/train_2025-09-27_14-47-52_MambaBDA_Base_xBD2_FOCAL.log",
    "extension": "png",
    "focal_loss": true
}
2025-09-27 14:47:54,688 | INFO | FOCAL LOSS params: alpha = [0.6, 1.6, 1.1, 1.1], gamma = 1.5
2025-09-27 14:47:54,688 | INFO | ---------starting training-----------
2025-09-27 14:47:54,749 | INFO | VAL_STEP=6250
2025-09-27 14:48:30,007 | INFO | iter is 50 / 50000 [skipped    0] | loc. loss = 0.5816432834, classif. loss = 1.5819338560
2025-09-27 14:49:01,390 | INFO | iter is 100 / 50000 [skipped    1] | loc. loss = 0.4569394588, classif. loss = 1.5355290174
2025-09-27 14:49:32,965 | INFO | iter is 150 / 50000 [skipped    2] | loc. loss = 0.4069522023, classif. loss = 2.6546730995
2025-09-27 14:50:04,487 | INFO | iter is 200 / 50000 [skipped    3] | loc. loss = 0.4378876090, classif. loss = 1.9057919979
2025-09-27 14:50:36,515 | INFO | iter is 250 / 50000 [skipped    3] | loc. loss = 0.3676104844, classif. loss = 1.6299464703
2025-09-27 14:51:08,543 | INFO | iter is 300 / 50000 [skipped    3] | loc. loss = 0.4510059357, classif. loss = 1.8706643581
2025-09-27 14:51:40,655 | INFO | iter is 350 / 50000 [skipped    3] | loc. loss = 0.2773417234, classif. loss = 4.0326561928
2025-09-27 14:52:12,738 | INFO | iter is 400 / 50000 [skipped    3] | loc. loss = 0.2174104899, classif. loss = 0.9201271534
2025-09-27 14:52:44,779 | INFO | iter is 450 / 50000 [skipped    3] | loc. loss = 0.1990786791, classif. loss = 0.8204165101
2025-09-27 14:53:16,966 | INFO | iter is 500 / 50000 [skipped    3] | loc. loss = 0.3202235997, classif. loss = 0.5972353220
2025-09-27 14:53:48,447 | INFO | iter is 550 / 50000 [skipped    4] | loc. loss = 0.3224876225, classif. loss = 0.3814626336
2025-09-27 14:54:20,458 | INFO | iter is 600 / 50000 [skipped    4] | loc. loss = 0.2771136463, classif. loss = 0.7520887852
2025-09-27 14:54:52,446 | INFO | iter is 650 / 50000 [skipped    4] | loc. loss = 0.3857652545, classif. loss = 2.0826644897
2025-09-27 14:55:24,390 | INFO | iter is 700 / 50000 [skipped    4] | loc. loss = 0.4173384607, classif. loss = 2.0893571377
2025-09-27 14:55:55,876 | INFO | iter is 750 / 50000 [skipped    5] | loc. loss = 0.3508209288, classif. loss = 0.7173148990
2025-09-27 14:56:27,797 | INFO | iter is 800 / 50000 [skipped    5] | loc. loss = 0.3675976694, classif. loss = 0.7461942434
2025-09-27 14:56:59,086 | INFO | iter is 850 / 50000 [skipped    6] | loc. loss = 0.3147302866, classif. loss = 1.0784353018
2025-09-27 14:57:31,092 | INFO | iter is 900 / 50000 [skipped    6] | loc. loss = 0.2569208443, classif. loss = 0.7965726852
2025-09-27 14:58:02,520 | INFO | iter is 950 / 50000 [skipped    7] | loc. loss = 0.4426520765, classif. loss = 1.4031641483
2025-09-27 14:58:33,858 | INFO | iter is 1000 / 50000 [skipped    8] | loc. loss = 0.5687774420, classif. loss = 1.4686297178
2025-09-27 14:59:05,718 | INFO | iter is 1050 / 50000 [skipped    8] | loc. loss = 0.3163774610, classif. loss = 0.6215869188
2025-09-27 14:59:36,988 | INFO | iter is 1100 / 50000 [skipped    9] | loc. loss = 0.2196901590, classif. loss = 0.4870758653
2025-09-27 15:00:09,017 | INFO | iter is 1150 / 50000 [skipped    9] | loc. loss = 0.3143728375, classif. loss = 1.4328078032
2025-09-27 15:00:40,970 | INFO | iter is 1200 / 50000 [skipped    9] | loc. loss = 0.3488758802, classif. loss = 0.7583628893
2025-09-27 15:01:12,862 | INFO | iter is 1250 / 50000 [skipped    9] | loc. loss = 0.2122079432, classif. loss = 0.2617603242
2025-09-27 15:01:44,719 | INFO | iter is 1300 / 50000 [skipped    9] | loc. loss = 0.2723948359, classif. loss = 1.3408041000
2025-09-27 15:02:16,142 | INFO | iter is 1350 / 50000 [skipped   10] | loc. loss = 0.3336760998, classif. loss = 0.3994638622
2025-09-27 15:02:46,871 | INFO | iter is 1400 / 50000 [skipped   12] | loc. loss = 0.3323242366, classif. loss = 1.0329546928
2025-09-27 15:03:18,713 | INFO | iter is 1450 / 50000 [skipped   12] | loc. loss = 0.2560248971, classif. loss = 0.5167520046
2025-09-27 15:03:50,636 | INFO | iter is 1500 / 50000 [skipped   12] | loc. loss = 0.3251825571, classif. loss = 0.9501367211
2025-09-27 15:04:22,591 | INFO | iter is 1550 / 50000 [skipped   12] | loc. loss = 0.2707693875, classif. loss = 2.6374158859
