2025-09-28 01:27:22,822 | INFO | MAIN - START
2025-09-28 01:27:22,822 | INFO |  > FOCAL LOSS set to True
2025-09-28 01:27:22,825 | INFO | Command Line Args:
{
    "cfg": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/configs/vssm1/vssm_base_224.yaml",
    "opts": null,
    "pretrained_weight_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/pretrained_weight/vssm_base_0229_ckpt_epoch_237.pth",
    "dataset": "xBD",
    "type": "train",
    "train_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined",
    "train_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined_list.txt",
    "test_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test",
    "test_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test_list.txt",
    "shuffle": true,
    "batch_size": 8,
    "crop_size": 256,
    "start_iter": 0,
    "cuda": true,
    "max_iters": 400000,
    "model_type": "MambaBDA_Base",
    "model_param_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/deneme_saved_models/tr2025-09-28_01-27-21_MambaBDA_Base_xBD_FOCAL",
    "resume": null,
    "learning_rate": 0.0001,
    "momentum": 0.9,
    "weight_decay": 0.005,
    "logfile": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/LOGLAR_CMAG/train_2025-09-28_01-27-21_MambaBDA_Base_xBD_FOCAL.log",
    "extension": "png",
    "focal_loss": true
}
2025-09-28 01:27:24,772 | INFO | FOCAL LOSS params: alpha = [0.6, 1.6, 1.1, 1.1], gamma = 1.5
2025-09-28 01:27:24,772 | INFO | ---------starting training-----------
2025-09-28 01:27:24,840 | INFO | VAL_STEP=6250
2025-09-28 01:27:58,936 | INFO | iter is 50 / 50000 [skipped    0] | loc. loss = 0.6604495049, classif. loss = 1.2227333784
2025-09-28 01:28:29,398 | INFO | iter is 100 / 50000 [skipped    2] | loc. loss = 0.7492961884, classif. loss = 1.3936715126
2025-09-28 01:29:01,145 | INFO | iter is 150 / 50000 [skipped    2] | loc. loss = 0.7877601385, classif. loss = 1.5725336075
2025-09-28 01:29:32,929 | INFO | iter is 200 / 50000 [skipped    2] | loc. loss = 0.3227139413, classif. loss = 2.1886570454
2025-09-28 01:30:04,652 | INFO | iter is 250 / 50000 [skipped    2] | loc. loss = 0.4946747422, classif. loss = 3.3935561180
2025-09-28 01:30:36,374 | INFO | iter is 300 / 50000 [skipped    2] | loc. loss = 0.2759668231, classif. loss = 0.4955024719
2025-09-28 01:31:07,667 | INFO | iter is 350 / 50000 [skipped    3] | loc. loss = 0.3267999291, classif. loss = 0.5365711451
2025-09-28 01:31:38,842 | INFO | iter is 400 / 50000 [skipped    4] | loc. loss = 0.2844796181, classif. loss = 1.0062049627
2025-09-28 01:32:09,497 | INFO | iter is 450 / 50000 [skipped    6] | loc. loss = 0.3274027705, classif. loss = 0.9819623232
2025-09-28 01:32:39,500 | INFO | iter is 500 / 50000 [skipped    9] | loc. loss = 0.3773239255, classif. loss = 1.0957458019
2025-09-28 01:33:10,720 | INFO | iter is 550 / 50000 [skipped   10] | loc. loss = 0.3107131720, classif. loss = 2.0116868019
2025-09-28 01:33:42,569 | INFO | iter is 600 / 50000 [skipped   10] | loc. loss = 0.3523092866, classif. loss = 3.1874635220
2025-09-28 01:34:14,334 | INFO | iter is 650 / 50000 [skipped   10] | loc. loss = 0.4281936288, classif. loss = 1.6491082907
2025-09-28 01:34:45,535 | INFO | iter is 700 / 50000 [skipped   11] | loc. loss = 0.6671137810, classif. loss = 0.8050166368
2025-09-28 01:35:17,331 | INFO | iter is 750 / 50000 [skipped   11] | loc. loss = 0.2752778828, classif. loss = 1.8848631382
2025-09-28 01:35:48,612 | INFO | iter is 800 / 50000 [skipped   12] | loc. loss = 0.3354752958, classif. loss = 2.2015142441
2025-09-28 01:36:20,423 | INFO | iter is 850 / 50000 [skipped   12] | loc. loss = 0.3071685135, classif. loss = 0.6412339211
2025-09-28 01:36:51,635 | INFO | iter is 900 / 50000 [skipped   13] | loc. loss = 0.3001693487, classif. loss = 0.6569390297
2025-09-28 01:37:22,810 | INFO | iter is 950 / 50000 [skipped   14] | loc. loss = 0.2719980180, classif. loss = 1.6014577150
2025-09-28 01:37:54,670 | INFO | iter is 1000 / 50000 [skipped   14] | loc. loss = 0.3310228586, classif. loss = 1.1141345501
2025-09-28 01:38:26,442 | INFO | iter is 1050 / 50000 [skipped   14] | loc. loss = 0.3846437037, classif. loss = 1.0098584890
2025-09-28 01:38:58,197 | INFO | iter is 1100 / 50000 [skipped   14] | loc. loss = 0.2621336579, classif. loss = 0.1849920452
2025-09-28 01:39:30,010 | INFO | iter is 1150 / 50000 [skipped   14] | loc. loss = 0.2460570484, classif. loss = 0.1755383015
2025-09-28 01:40:01,724 | INFO | iter is 1200 / 50000 [skipped   14] | loc. loss = 0.3254885077, classif. loss = 2.4291687012
2025-09-28 01:40:33,459 | INFO | iter is 1250 / 50000 [skipped   14] | loc. loss = 0.2716016471, classif. loss = 0.3969758153
2025-09-28 01:41:05,267 | INFO | iter is 1300 / 50000 [skipped   14] | loc. loss = 0.1479558051, classif. loss = 0.5345112681
2025-09-28 01:41:37,063 | INFO | iter is 1350 / 50000 [skipped   14] | loc. loss = 0.2120076120, classif. loss = 0.2742575705
2025-09-28 01:42:08,824 | INFO | iter is 1400 / 50000 [skipped   14] | loc. loss = 0.2499326468, classif. loss = 0.9903740883
2025-09-28 01:42:40,034 | INFO | iter is 1450 / 50000 [skipped   15] | loc. loss = 0.2599714398, classif. loss = 0.5479863882
2025-09-28 01:43:11,844 | INFO | iter is 1500 / 50000 [skipped   15] | loc. loss = 0.2034216523, classif. loss = 0.5593093038
2025-09-28 01:43:43,742 | INFO | iter is 1550 / 50000 [skipped   15] | loc. loss = 0.3151131272, classif. loss = 0.9912763238
2025-09-28 01:44:15,503 | INFO | iter is 1600 / 50000 [skipped   15] | loc. loss = 0.1712591201, classif. loss = 0.5076752305
2025-09-28 01:44:47,287 | INFO | iter is 1650 / 50000 [skipped   15] | loc. loss = 0.2803243101, classif. loss = 0.6134774089
2025-09-28 01:45:19,109 | INFO | iter is 1700 / 50000 [skipped   15] | loc. loss = 0.2308186740, classif. loss = 0.2678451836
2025-09-28 01:45:50,994 | INFO | iter is 1750 / 50000 [skipped   15] | loc. loss = 0.2387602031, classif. loss = 0.6924117804
2025-09-28 01:46:22,745 | INFO | iter is 1800 / 50000 [skipped   15] | loc. loss = 0.4449789524, classif. loss = 1.5239390135
2025-09-28 01:46:54,492 | INFO | iter is 1850 / 50000 [skipped   15] | loc. loss = 0.2524142265, classif. loss = 1.4802577496
2025-09-28 01:47:26,293 | INFO | iter is 1900 / 50000 [skipped   15] | loc. loss = 0.3360763788, classif. loss = 0.7309417129
2025-09-28 01:47:56,989 | INFO | iter is 1950 / 50000 [skipped   17] | loc. loss = 0.3009544015, classif. loss = 0.6369162202
2025-09-28 01:48:28,199 | INFO | iter is 2000 / 50000 [skipped   18] | loc. loss = 0.3679665327, classif. loss = 0.1572135687
2025-09-28 01:48:59,981 | INFO | iter is 2050 / 50000 [skipped   18] | loc. loss = 0.2048851252, classif. loss = 0.4298767447
2025-09-28 01:49:31,755 | INFO | iter is 2100 / 50000 [skipped   18] | loc. loss = 0.3040347695, classif. loss = 0.6673228741
2025-09-28 01:50:03,567 | INFO | iter is 2150 / 50000 [skipped   18] | loc. loss = 0.1865988225, classif. loss = 0.2587129772
2025-09-28 01:50:35,325 | INFO | iter is 2200 / 50000 [skipped   18] | loc. loss = 0.2862192988, classif. loss = 1.0699553490
2025-09-28 01:51:07,082 | INFO | iter is 2250 / 50000 [skipped   18] | loc. loss = 0.1557536721, classif. loss = 3.2728927135
2025-09-28 01:51:38,306 | INFO | iter is 2300 / 50000 [skipped   19] | loc. loss = 0.4786474705, classif. loss = 0.5743750930
2025-09-28 01:52:10,144 | INFO | iter is 2350 / 50000 [skipped   19] | loc. loss = 0.2467405498, classif. loss = 1.2027957439
2025-09-28 01:52:41,901 | INFO | iter is 2400 / 50000 [skipped   19] | loc. loss = 0.3042423725, classif. loss = 1.2096920013
2025-09-28 01:53:13,665 | INFO | iter is 2450 / 50000 [skipped   19] | loc. loss = 0.4833860099, classif. loss = 2.1949367523
2025-09-28 01:53:45,412 | INFO | iter is 2500 / 50000 [skipped   19] | loc. loss = 0.3277859688, classif. loss = 0.7936241031
